record,text,lemma,p_single,p_lemma,gain
4035,кто,кто,0.9984940290451051,0.9986245036125181,0.000130474567412997
2232,скоро,скоро,0.8300374150276181,0.830166637897491,0.00012922286987293585
3939,на,на,0.242356613278388,0.24248230457305903,0.00012569129467102091
3921,ничего,ничего,0.9942302703857421,0.994355738162994,0.00012546777725197522
4072,за,за,0.9966850876808161,0.996808886528015,0.00012379884719893042
4056,и,и,0.588067293167114,0.5881910324096681,0.000123739242554044
4050,одно,один,0.002757427748292,0.002879963023588,0.00012253527529599998
4080,ужас,ужас,0.7928618192672731,0.79297912120819,0.00011730194091696955
4034,не,не,0.988435864448547,0.9885477423667901,0.00011187791824307514
4050,что,что,0.997929453849792,0.9980397224426271,0.00011026859283502777
3951,не,не,0.9992457628250121,0.9993540048599241,0.00010824203491199835
3951,а,а,0.9933412671089171,0.9934483766555781,0.00010710954666093286
4033,не,не,0.9880565404891961,0.9881618618965141,0.00010532140731800421
4034,не,не,0.998278975486755,0.998376071453094,9.70959663390003e-05
3921,что,что,0.9974277615547181,0.9975228905677791,9.512901306096833e-05
3921,ничего,ничего,0.9980047345161431,0.9980992078781121,9.447336196899414e-05
4069,смотрю,смотреть,0.034377504140138,0.034465249627828,8.774548768999968e-05
3951,а,а,0.9743412733078001,0.9744272828102111,8.60095024109997e-05
4076,не,не,0.9893520474433891,0.989437282085418,8.523464202891962e-05
4034,не,не,0.00601096637547,0.006093852687627001,8.288631215700067e-05
4063,да,да,0.063826084136962,0.063907958567142,8.18744301799984e-05
3939,на,на,0.9949534535408021,0.9950292706489561,7.581710815396381e-05
2232,скоро,скоро,0.710822939872741,0.710897505283355,7.456541061401367e-05
4079,по,по,0.9994326233863831,0.99950486421585,7.224082946699628e-05
4054,а,а,0.9710829854011531,0.9711537361145021,7.075071334894378e-05
3976,легкий,легкий,0.024513123556971002,0.024581972509622,6.884895265099958e-05
2232,скоро,скоро,0.968097329139709,0.9681656956672661,6.836652755703998e-05
4079,по,по,0.9992755055427551,0.99934321641922,6.771087646484375e-05
3921,не,не,0.9996734857559201,0.99973839521408,6.49094581599563e-05
4056,и,и,0.46929112076759305,0.46935358643531805,6.246566772499795e-05
2232,скоро,скоро,0.529707133769989,0.529768228530883,6.109476089399823e-05
4069,смотрю,смотреть,0.013738785870373001,0.013798903673887001,6.0117803514000284e-05
4035,чтобы,чтобы,0.686337113380432,0.6863968968391411,5.978345870905066e-05
4035,чтобы,чтобы,0.8342512249946591,0.8343103528022761,5.9127807616965455e-05
3428,куда,куда,0.9966021776199341,0.996659159660339,5.698204040494037e-05
4054,не,не,0.999530553817749,0.9995868206024171,5.626678466807977e-05
4033,не,не,0.046551223844289,0.046606544405221,5.532056093199983e-05
3951,не,не,0.998695075511932,0.9987473487854001,5.227327346801758e-05
4035,чтобы,чтобы,0.856247067451477,0.8562961816787721,4.91142272950329e-05
4079,по,по,0.999325156211853,0.9993710517883301,4.589557647705078e-05
3921,что,что,0.9960018992424011,0.9960449337959291,4.3034553527943054e-05
2147,от,от,0.9959827661514281,0.9960244297981261,4.166364669799805e-05
4054,а,а,0.9862906336784361,0.9863318204879761,4.1186809540016966e-05
3921,что,что,0.9984488487243651,0.998489677906036,4.0829181670920534e-05
3428,куда,куда,0.994270205497741,0.9943108558654781,4.065036773703845e-05
4076,не,не,0.993443131446838,0.993482172489166,3.904104232799188e-05
4056,и,и,0.975554406642913,0.975593090057373,3.868341446000567e-05
4076,не,не,0.995499074459075,0.9955334067344661,3.433227539106909e-05
3951,а,а,0.9891370534896851,0.9891691207885741,3.2067298889049134e-05
4076,не,не,0.9925714135169981,0.9926019310951231,3.0517578125e-05
4035,чтобы,чтобы,0.8843913078308101,0.8844198584556581,2.855062484796722e-05
3921,не,не,0.997688293457031,0.9977163076400751,2.8014183044100527e-05
4035,чтобы,чтобы,0.8165511488914491,0.8165753483772271,2.4199485778031438e-05
4076,не,не,0.998576164245605,0.9985999464988701,2.3782253265047792e-05
2147,от,от,0.9989544153213501,0.9989776611328121,2.3245811461958255e-05
4054,а,а,0.982348501682281,0.9823715686798091,2.3066997528076172e-05
4069,смотрю,смотреть,7.347667633439414e-06,2.9977378289913762e-05,2.2629710656474348e-05
2147,от,от,0.9987111091613771,0.9987334609031671,2.2351741789994328e-05
3428,куда,куда,0.972846329212188,0.9728666543960571,2.0325183869074337e-05
3428,куда,куда,0.9984714388847351,0.9984917640686031,2.0325183867964114e-05
3921,не,не,0.998731195926666,0.9987513422966001,2.014636993408203e-05
3921,ничего,ничего,0.9925091862678521,0.9925270080566401,1.782178878795282e-05
4072,за,за,0.998678147792816,0.9986956715583801,1.7523765564075866e-05
4079,по,по,0.999610483646392,0.999627649784088,1.7166137695978634e-05
4054,а,а,0.337450742721557,0.337467283010482,1.6540288925004365e-05
4080,тихий,тихий,0.34251165390014604,0.342524796724319,1.3142824172973633e-05
4072,за,за,0.999771654605865,0.9997839331626891,1.2278556824063536e-05
4072,за,за,0.9990328550338741,0.999045073986053,1.2218952178955078e-05
2147,от,от,0.9995725750923151,0.9995846152305601,1.2040138244961973e-05
4072,за,за,0.9997057318687431,0.9997166395187371,1.0907649994007507e-05
4080,тихий,тихий,0.20554731786251002,0.20555700361728602,9.685754776000977e-06
4079,по,по,0.9997286200523371,0.999737977981567,9.357929229958373e-06
3428,куда,куда,0.967115402221679,0.9671245217323301,9.119510651078855e-06
3921,не,не,0.999316573143005,0.9993236660957331,7.09295272804944e-06
3921,не,не,0.9993755221366881,0.9993822574615471,6.735324858953007e-06
2306,милость,милость,0.104964777827262,0.104970604181289,5.8263540270026e-06
3921,не,не,0.999521851539611,0.999527275562286,5.424022675004636e-06
2306,милость,милость,0.803704500198364,0.803709924221038,5.424022674005435e-06
4034,не,не,0.015700869262218,0.015706121921539,5.252659321001302e-06
4080,тихий,тихий,0.050391506403684005,0.050396528095006006,5.021691322000532e-06
2306,милость,милость,0.21308976411819402,0.21309326589107502,3.5017728809982884e-06
2306,милость,милость,0.063354089856147,0.06335502862930201,9.387731550042355e-07
4080,тихий,тихий,0.001838612370193,0.001839187112636,5.747424430000217e-07
4080,тихий,тихий,0.003907680045813,0.003907846286892,1.6624107899987361e-07
2306,милость,милость,0.0035786952357730003,0.0035787676461040002,7.241033099991342e-08
2334,судить,судить,0.18895950913429202,0.18895956873893702,5.960464499743523e-08
2334,судить,судить,0.58362591266632,0.583625972270965,5.960464499743523e-08
2334,судить,судить,0.96043860912323,0.9604386687278741,5.960464410925681e-08
2334,судить,судить,0.393232733011245,0.393232762813568,2.9802322998317976e-08
2334,судить,судить,0.553522109985351,0.553522109985351,0.0
4072,разом,разом,0.522662639617919,0.522662639617919,0.0
4072,разом,разом,0.9990315437316891,0.9990315437316891,0.0
4072,разом,разом,0.999716222286224,0.999716222286224,0.0
4072,разом,разом,0.9995730519294731,0.9995730519294731,0.0
4072,разом,разом,0.9996678829193111,0.9996678829193111,0.0
